ID,present,WC_alt,WC_bio1,WC_bio4,WC_bio12,ER_minTempWarmest,lon,lat
243,0,407,12.399999618530273,80.279998779296875,1176,168,-83.0416666666667,37.375
244,0,2151,4.099999904632568,93.23999786376953,236,87,-108.875,41.95833333333333
245,0,1419,6.800000190734863,97.48999786376953,346,125,-104.95833333333334,43.875
246,0,915,6.099999904632568,105.18000030517578,321,124,-105.875,47.04166666666664
247,0,503,7,115.62999725341797,603,159,-97.04166666666669,43.95833333333332
248,0,498,18.399999618530273,67.48999786376953,799,207,-98.625,30.29166666666669
249,0,1226,17.100000381469727,75.12999725341797,232,186,-106.375,30.708333333333353
250,0,2072,6.800000190734863,75.37999725341797,398,98,-105.29166666666667,40.45833333333333
251,0,245,13,97.26000213623047,959,208,-94.625,39.125
252,0,1273,9.899999618530273,92.089996337890625,419,152,-102.45833333333334,39.45833333333333
253,0,1028,14.800000190734863,79.95999908447266,484,189,-101.79166666666669,34.04166666666668
254,0,822,6.400000095367432,105.72000122070312,316,122,-106.54166666666667,47.29166666666664
255,0,790,8.199999809265137,104.41000366210938,497,153,-100.54166666666669,43.20833333333332
256,0,136,14.5,80.76000213623047,1378,188,-88.04166666666669,35.70833333333334
257,0,505,6.199999809265137,118.02999877929688,585,152,-96.95833333333334,44.458333333333314
258,0,2179,13.100000381469727,59.630001068115234,420,114,-107.20833333333334,29.625
259,0,485,7.599999904632568,115.69999694824219,458,154,-99.70833333333334,44.208333333333314
260,0,395,3.4000000953674316,120.16000366210938,691,125,-93.625,47.29166666666664
261,0,260,4.400000095367432,126.91000366210938,516,141,-96.875,47.625
262,0,518,20,70.38999938964844,430,226,-101.20833333333334,29.875
263,0,1268,16.200000762939453,69.69000244140625,321,180,-109.79166666666667,32.125
264,0,391,6.5,119.04000091552734,490,153,-98.29166666666669,44.875
265,0,951,3.4000000953674316,103.41000366210938,374,92,-108.625,49.375
266,0,1374,15.600000381469727,67.5199966430664,351,164,-109.20833333333334,31.541666666666686
267,0,207,11,96.4800033569336,1007,178,-87.70833333333336,39.875
268,0,232,7.900000095367432,95.7300033569336,759,150,-82.7916666666667,43.29166666666666
269,0,218,9.600000381469727,105.93000030517578,902,179,-90.875,41.625
270,0,1173,6.900000095367432,98.33000183105469,399,125,-104.625,44.875
